"Timestamp","Check","Result","Details"
"2026-07-16T09:06:28","Controlled directories","PASS","All controlled directories exist."
"2026-07-16T09:06:28","Controlled files","PASS","All controlled files exist."
"2026-07-16T09:06:32","ESP-IDF version","PASS","ESP-IDF v6.0.2 [D:\esp\v6.0.2\esp-idf\tools\idf.py]"
"2026-07-16T09:06:36","ESP-IDF managed tools","PASS","idf_tools.py check completed successfully."
"2026-07-16T09:06:36","Visual Studio Code","PASS","1.127.0 [D:\Programs\Microsoft VS Code\Code.exe]"
"2026-07-16T09:06:37","Git","PASS","git version 2.55.0.windows.2 [D:\Programs\Git\cmd\git.exe]"
"2026-07-16T09:06:38","Python","PASS","Python 3.11.15 [C:\Users\parth\.espressif\python_env\idf6.0_py3.11_env\Scripts\python.exe]"
"2026-07-16T09:06:39","CMake","PASS","cmake version 4.0.3 [C:\Users\parth\.espressif\tools\cmake\4.0.3\bin\cmake.exe]"
"2026-07-16T09:06:40","Ninja","PASS","1.12.1 [C:\Users\parth\.espressif\tools\ninja\1.12.1\ninja.exe]"
"2026-07-16T09:06:41","ESP32-S3 GCC","PASS","xtensa-esp-elf-gcc.exe (crosstool-NG esp-15.2.0_20251204) 15.2.0 [C:\Users\parth\.espressif\tools\xtensa-esp-elf\esp-15.2.0_20251204\xtensa-esp-elf\bin\xtensa-esp-elf-gcc.exe]"
"2026-07-16T09:06:42","ESP32-S3 GDB command","PASS","GNU gdb (esp-gdb) 17.1_20260402 [C:\Users\parth\.espressif\tools\xtensa-esp-elf-gdb\17.1_20260402\xtensa-esp-elf-gdb\bin\xtensa-esp32s3-elf-gdb.exe]"
"2026-07-16T09:06:43","RISC-V GDB command","PASS","GNU gdb (esp-gdb) 17.1_20260402 [C:\Users\parth\.espressif\tools\riscv32-esp-elf-gdb\17.1_20260402\riscv32-esp-elf-gdb\bin\riscv32-esp-elf-gdb.exe]"
"2026-07-16T09:06:44","OpenOCD command","PASS","Open On-Chip Debugger v0.12.0-esp32-20260424 (2026-04-24-15:13) [C:\Users\parth\.espressif\tools\openocd-esp32\v0.12.0-esp32-20260424\openocd-esp32\bin\openocd.exe]"
"2026-07-16T09:06:44","ESP-IDF VS Code extension","PASS","espressif.esp-idf-extension@2.1.0"
"2026-07-16T09:06:44","Minimal B1.2 project structure","PASS","D:\OneDrive\SQD\verification\b1_2_minimal"
"2026-07-16T09:06:45","Heltec serial interface","PASS","Silicon Labs CP210x USB to UART Bridge (COM3)"
"2026-07-16T09:09:05","Clean ESP32-S3 project build","PASS","Clean ESP32-S3 build succeeded. b1_2_minimal.bin=164240 bytes"
