"Timestamp","Check","Result","Details"
"2026-07-17T10:20:08","Required B2.2 files","PASS","11 required governance files exist."
"2026-07-17T10:20:08","Policy completeness","PASS","Branching, review, commit, merge, SemVer, release, hotfix and exception rules are explicit."
"2026-07-17T10:20:08","Semantic version source","PASS","0.1.0-dev.0"
"2026-07-17T10:20:08","Repository-local Git governance","PASS","commit.template=.gitmessage; pull.rebase=true; fetch.prune=true; core.autocrlf=false"
"2026-07-17T10:20:11","Main and origin synchronization","PASS","main and origin/main: d2f1e0b0b5092f3a3cbaf35c5e598e1765f8fefe"
"2026-07-17T10:20:11","Latest main commit convention","PASS","docs(governance): record B2.2 closure controls (#4)"
"2026-07-17T10:20:11","Release-tag convention","PASS","No release tags exist yet; naming and annotation policy is ready."
"2026-07-17T10:20:11","Generated and sensitive paths untracked","PASS","Generated outputs and sensitive-material patterns are absent from tracked files."
"2026-07-17T10:20:12","GitHub repository merge settings","PASS","GitHub API omitted administrator merge fields; default branch is main and manual settings evidence exists: D:\OneDrive\SQD\docs\evidence\screenshots\B2.2\B2.2_merge_settings.png"
"2026-07-17T10:20:12","GitHub main protection","PASS","GitHub reports main as protected; ruleset evidence exists: D:\OneDrive\SQD\docs\evidence\screenshots\B2.2\B2.2_main_protection_ruleset.png"
"2026-07-17T10:20:12","Pull-request bootstrap evidence","PASS","cc63d917b2ac87f053c40ae72254b82e9aeb1c3e|docs(governance): define B2.2 source-control policy"
